user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1C1723	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	GCF_002950215.1	97.0028	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	98.85	0.98	GCF_002950215.1	97.0028	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	98.85	0.98	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002949675.1, s__Escherichia dysenteriae, 97.0028, 98.7, 0.96; GCF_000026325.1, s__Escherichia coli_D, 96.9551, 98.66, 1.0; GCF_003697165.2, s__Escherichia coli, 96.8144, 98.16, 0.97; GCA_003018335.1, s__Escherichia coli_C, 96.1333, 97.46, 1.0; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 96.24, 0.93; GCF_000208585.1, s__Escherichia sp000208585, 95.0, 94.89, 0.97; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 94.72, 0.96; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 94.6, 0.96; GCF_011881725.1, s__Escherichia coli_E, 95.0, 94.57, 0.95; GCF_001660175.1, s__Escherichia sp001660175, 95.0, 94.13, 0.98; GCF_002900365.1, s__Escherichia marmotae, 95.0, 93.2, 0.98; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 93.15, 0.97; GCF_000759775.1, s__Escherichia albertii, 95.0, 92.64, 0.94	60.59	11	N/A	N/A
S1C1740	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum	GCF_000614735.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum	98.26	0.84	GCF_000614735.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gallinarum	98.26	0.84	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 89.52, 0.76; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 85.66, 0.65; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 85.55, 0.67; GCF_002088015.1, s__Lactobacillus crispatus, 95.0, 84.85, 0.6; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 83.1, 0.66; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 83.08, 0.6; GCF_001591845.1, s__Lactobacillus acidophilus, 95.0, 82.71, 0.63; GCF_002911475.1, s__Lactobacillus sp002911475, 95.0, 80.75, 0.48; GCF_000178475.1, s__Lactobacillus amylolyticus, 95.0, 80.59, 0.4; GCF_001434335.1, s__Lactobacillus kalixensis, 95.0, 80.49, 0.43; GCF_000615445.1, s__Lactobacillus hamsteri, 95.0, 80.48, 0.48; GCF_001435325.1, s__Lactobacillus intestinalis, 95.0, 80.34, 0.44; GCF_007570935.1, s__Lactobacillus sp007570935, 95.0, 79.97, 0.37; GCF_000297025.1, s__Lactobacillus pasteurii, 95.0, 79.57, 0.36; GCF_000296855.1, s__Lactobacillus gigeriorum, 95.0, 79.42, 0.33; GCF_003584685.1, s__Lactobacillus paragasseri, 95.0, 79.08, 0.29; GCF_001436455.1, s__Lactobacillus jensenii, 95.0, 79.01, 0.23; GCF_000014425.1, s__Lactobacillus gasseri, 95.0, 78.93, 0.28; GCF_000296835.1, s__Lactobacillus hominis, 95.0, 78.84, 0.28; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 78.74, 0.3; GCF_001436695.1, s__Lactobacillus taiwanensis, 95.0, 78.71, 0.3; GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 78.71, 0.25; GCF_001436775.1, s__Lactobacillus acetotolerans, 95.0, 78.66, 0.28; GCF_000159355.1, s__Lactobacillus johnsonii, 95.0, 78.65, 0.29; GCF_002837055.1, s__Lactobacillus apis, 95.0, 78.47, 0.24; GCF_002916935.1, s__Lactobacillus panisapium, 95.0, 78.47, 0.23; GCA_001311765.1, s__Lactobacillus equicursoris, 95.0, 78.29, 0.12; GCF_003423665.1, s__Lactobacillus rodentium, 95.0, 78.11, 0.22; GCF_001433875.1, s__Lactobacillus delbrueckii, 95.0, 78.01, 0.11; GCF_900112665.1, s__Lactobacillus bombicola, 95.0, 77.95, 0.17; GCF_000970855.1, s__Lactobacillus helsingborgensis, 95.0, 77.75, 0.21; GCF_000970755.1, s__Lactobacillus kimbladii_A, 95.0, 77.7, 0.19; GCF_000760615.1, s__Lactobacillus sp000760615, 95.0, 77.7, 0.18; GCF_014323605.1, s__Lactobacillus kimbladii_B, 95.0, 77.47, 0.17; GCF_009695985.1, s__Lactobacillus porci, 95.0, 77.45, 0.1; GCF_013346935.1, s__Lactobacillus melliventris, 95.0, 77.42, 0.19; GCF_000967195.1, s__Lactobacillus kullabergensis, 95.0, 77.37, 0.19; GCF_003692965.1, s__Lactobacillus sp003692965, 95.0, 77.35, 0.19; GCA_002418055.1, s__Lactobacillus sp002418055, 95.0, 77.2, 0.14; GCF_000160875.1, s__Lactobacillus iners, 95.0, 77.02, 0.12; GCA_002417825.1, s__Lactobacillus sp002417825, 95.0, 76.29, 0.08; GCA_004556255.1, s__Lactobacillus delbrueckii_B, 95.0, 76.08, 0.06	73.56	11	N/A	Genome has more than 10.8% of markers with multiple hits
S1C1787	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_002088015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.43	0.91	GCF_002088015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.43	0.91	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000614735.1, s__Lactobacillus gallinarum, 95.0, 82.42, 0.66; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 82.0, 0.66; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 81.98, 0.64; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 81.54, 0.69; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 81.5, 0.66; GCF_001591845.1, s__Lactobacillus acidophilus, 95.0, 81.37, 0.65; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 80.9, 0.67; GCF_000615445.1, s__Lactobacillus hamsteri, 95.0, 79.83, 0.44; GCF_001434335.1, s__Lactobacillus kalixensis, 95.0, 79.63, 0.43; GCF_002911475.1, s__Lactobacillus sp002911475, 95.0, 79.55, 0.42; GCF_001435325.1, s__Lactobacillus intestinalis, 95.0, 79.28, 0.43; GCF_000178475.1, s__Lactobacillus amylolyticus, 95.0, 79.09, 0.35; GCF_007570935.1, s__Lactobacillus sp007570935, 95.0, 79.07, 0.38; GCF_000297025.1, s__Lactobacillus pasteurii, 95.0, 78.66, 0.29; GCF_001436695.1, s__Lactobacillus taiwanensis, 95.0, 78.42, 0.24; GCF_000296855.1, s__Lactobacillus gigeriorum, 95.0, 78.38, 0.25; GCF_003584685.1, s__Lactobacillus paragasseri, 95.0, 78.19, 0.23; GCF_000014425.1, s__Lactobacillus gasseri, 95.0, 78.18, 0.25; GCF_000296835.1, s__Lactobacillus hominis, 95.0, 78.15, 0.28; GCF_001436775.1, s__Lactobacillus acetotolerans, 95.0, 78.12, 0.24; GCF_000159355.1, s__Lactobacillus johnsonii, 95.0, 78.05, 0.22; GCF_002837055.1, s__Lactobacillus apis, 95.0, 77.77, 0.2; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 77.7, 0.23; GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 77.7, 0.2; GCF_001433875.1, s__Lactobacillus delbrueckii, 95.0, 77.66, 0.07; GCF_000760615.1, s__Lactobacillus sp000760615, 95.0, 77.65, 0.18; GCF_003423665.1, s__Lactobacillus rodentium, 95.0, 77.62, 0.17; GCF_000967195.1, s__Lactobacillus kullabergensis, 95.0, 77.5, 0.17; GCF_002916935.1, s__Lactobacillus panisapium, 95.0, 77.48, 0.2; GCF_014323605.1, s__Lactobacillus kimbladii_B, 95.0, 77.36, 0.17; GCA_001311765.1, s__Lactobacillus equicursoris, 95.0, 77.22, 0.09; GCF_001436455.1, s__Lactobacillus jensenii, 95.0, 77.17, 0.23; GCF_000970755.1, s__Lactobacillus kimbladii_A, 95.0, 77.11, 0.19; GCF_003692965.1, s__Lactobacillus sp003692965, 95.0, 77.11, 0.18; GCF_000970855.1, s__Lactobacillus helsingborgensis, 95.0, 76.97, 0.17; GCA_002418055.1, s__Lactobacillus sp002418055, 95.0, 76.97, 0.12; GCF_013346935.1, s__Lactobacillus melliventris, 95.0, 76.95, 0.19; GCF_900112665.1, s__Lactobacillus bombicola, 95.0, 76.93, 0.16; GCF_009695985.1, s__Lactobacillus porci, 95.0, 76.78, 0.07; GCA_004556255.1, s__Lactobacillus delbrueckii_B, 95.0, 76.73, 0.04; GCA_002417825.1, s__Lactobacillus sp002417825, 95.0, 76.6, 0.05; GCF_000160875.1, s__Lactobacillus iners, 95.0, 76.1, 0.08	53.21	11	N/A	N/A
S1C1808	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp002314255	GCA_002314255.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp002314255	99.04	0.86	GCA_002314255.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp002314255	99.04	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900751785.1, s__Mediterraneibacter sp900751785, 95.0, 84.39, 0.76; GCF_002161355.1, s__Mediterraneibacter sp002161355, 95.0, 79.3, 0.5; GCF_002160525.1, s__Mediterraneibacter sp002160525, 95.0, 79.06, 0.49; GCA_900555215.1, s__Mediterraneibacter sp900555215, 95.0, 79.05, 0.24; GCF_002159505.1, s__Mediterraneibacter sp002159505, 95.0, 78.66, 0.43; GCA_900553885.1, s__Mediterraneibacter sp900553885, 95.0, 78.41, 0.37; GCF_900120155.1, s__Mediterraneibacter sp900120155, 95.0, 78.24, 0.36; GCF_001312505.1, s__Mediterraneibacter faecis, 95.0, 77.87, 0.24; GCF_000153925.1, s__Mediterraneibacter torques, 95.0, 77.87, 0.2; GCF_000155205.1, s__Mediterraneibacter lactaris, 95.0, 77.81, 0.31; GCF_900761655.1, s__Mediterraneibacter sp900761655, 95.0, 77.77, 0.27; GCF_900752395.1, s__Mediterraneibacter sp900752395, 95.0, 77.73, 0.12; GCA_900541505.1, s__Mediterraneibacter sp900541505, 95.0, 77.47, 0.27; GCF_001487105.1, s__Mediterraneibacter massiliensis, 95.0, 77.11, 0.21; GCF_014287475.1, s__Mediterraneibacter sp014287475, 95.0, 77.08, 0.18	51.88	11	N/A	N/A
S1C1814	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	GCF_000026325.1	96.9551	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	98.13	0.92	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_000026325.1, s__Escherichia coli_D, 96.9551, 98.13, 0.92; GCF_002950215.1, s__Escherichia flexneri, 97.0028, 98.06, 0.87; GCF_003697165.2, s__Escherichia coli, 96.8144, 97.48, 0.91; GCF_002949675.1, s__Escherichia dysenteriae, 97.0028, 97.15, 0.82; GCA_003018335.1, s__Escherichia coli_C, 96.1333, 96.89, 0.94; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.78, 0.76; GCF_000208585.1, s__Escherichia sp000208585, 95.0, 92.12, 0.87; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 92.01, 0.91; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 91.9, 0.88; GCF_011881725.1, s__Escherichia coli_E, 95.0, 91.78, 0.84; GCF_001660175.1, s__Escherichia sp001660175, 95.0, 91.16, 0.9; GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.37, 0.85; GCF_000759775.1, s__Escherichia albertii, 95.0, 88.97, 0.76; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 88.41, 0.65	16.74	11	N/A	N/A
S1C1826	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp000435395	GCA_000435395.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp000435395	98.62	0.85	GCA_000435395.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp000435395	98.62	0.85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900543555.1, s__Acutalibacter sp900543555, 95.0, 85.18, 0.76; GCA_900548545.1, s__Acutalibacter sp900548545, 95.0, 82.68, 0.65; GCF_900755895.1, s__Acutalibacter sp900755895, 95.0, 80.81, 0.66; GCA_000432995.1, s__Acutalibacter sp000432995, 95.0, 80.73, 0.76; GCF_900759575.1, s__Acutalibacter sp900759575, 95.0, 79.72, 0.49; GCA_900543305.1, s__Acutalibacter sp900543305, 95.0, 79.41, 0.5; GCF_003612555.1, s__Acutalibacter sp003612555, 95.0, 79.13, 0.32; GCF_900048895.1, s__Acutalibacter timonensis, 95.0, 78.56, 0.26; GCF_009936055.1, s__Acutalibacter sp009936055, 95.0, 78.48, 0.35; GCF_009936035.1, s__Acutalibacter sp009936035, 95.0, 78.19, 0.47; GCF_002201475.1, s__Acutalibacter muris, 95.0, 77.57, 0.3; GCF_009917305.1, s__Acutalibacter muris_A, 95.0, 77.29, 0.22; GCF_009917525.1, s__Acutalibacter sp009917525, 95.0, 76.89, 0.22	38.02	11	N/A	N/A
S1C1849	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	ANI	N/A	GCA_002314305.1, s__CAG-180 sp002314305, 95.0, 80.03, 0.28; GCA_004555265.1, s__CAG-180 sp004555265, 95.0, 79.07, 0.44; GCA_900545625.1, s__CAG-180 sp900545625, 95.0, 78.72, 0.33; GCF_900766945.1, s__CAG-180 sp900766945, 95.0, 78.57, 0.38; GCA_900315985.1, s__CAG-180 sp900315985, 95.0, 77.97, 0.04; GCA_900540295.1, s__CAG-180 sp900540295, 95.0, 77.85, 0.4; GCA_002490525.1, s__CAG-180 sp002490525, 95.0, 77.47, 0.33; GCA_000432435.1, s__CAG-180 sp000432435, 95.0, 77.1, 0.1; GCA_002437245.1, s__CAG-180 sp002437245, 95.0, 76.76, 0.06; GCA_002361875.1, s__CAG-180 sp002361875, 95.0, 76.5, 0.06; GCA_004556705.1, s__CAG-180 sp004556705, 95.0, 76.38, 0.1; GCA_002490425.1, s__CAG-180 sp002490425, 95.0, 76.13, 0.06	27.48	11	0.9498363774702216	N/A
S1C1938	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	GCF_001435955.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	97.64	0.9	GCF_001435955.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	97.64	0.9	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000615845.1, s__Ligilactobacillus hayakitensis, 95.0, 79.46, 0.27; GCF_001654615.1, s__Ligilactobacillus aviarius_B, 95.0, 79.07, 0.08; GCF_001434535.1, s__Ligilactobacillus animalis, 95.0, 78.8, 0.14; GCF_001436215.1, s__Ligilactobacillus agilis, 95.0, 78.66, 0.16; GCF_001434405.1, s__Ligilactobacillus apodemi, 95.0, 78.58, 0.16; GCA_001435375.1, s__Ligilactobacillus araffinosus, 95.0, 78.52, 0.11; GCF_001591685.1, s__Ligilactobacillus murinus, 95.0, 78.5, 0.15; GCF_900110005.1, s__Ligilactobacillus ruminis_A, 95.0, 78.47, 0.14; GCF_000423265.1, s__Ligilactobacillus saerimneri, 95.0, 78.43, 0.09; GCF_001436315.1, s__Ligilactobacillus aviarius, 95.0, 78.33, 0.1; GCF_900113455.1, s__Ligilactobacillus ruminis, 95.0, 78.24, 0.09; GCF_000423245.1, s__Ligilactobacillus ceti, 95.0, 78.05, 0.17; GCF_900765635.1, s__Ligilactobacillus sp900765635, 95.0, 77.85, 0.17; GCF_003864415.1, s__Ligilactobacillus salitolerans, 95.0, 77.82, 0.07; GCF_000615765.1, s__Ligilactobacillus equi, 95.0, 77.61, 0.13; GCF_001435755.1, s__Ligilactobacillus acidipiscis, 95.0, 77.26, 0.11; GCF_000349725.1, s__Ligilactobacillus pobuzihii, 95.0, 77.02, 0.11	84.06	11	N/A	N/A
S1C2126	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus pontis_A	GCF_002940945.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus pontis_A	98.31	0.89	GCF_002940945.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus pontis_A	98.31	0.89	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001435345.1, s__Limosilactobacillus pontis, 95.0, 83.28, 0.75; GCA_002299975.1, s__Limosilactobacillus sp002299975, 95.0, 81.15, 0.46; GCF_000160835.1, s__Limosilactobacillus antri, 95.0, 78.38, 0.28; GCF_900240275.1, s__Limosilactobacillus timonensis, 95.0, 78.16, 0.08; GCF_002871555.1, s__Limosilactobacillus vaginalis_A, 95.0, 78.14, 0.14; GCF_001435935.1, s__Limosilactobacillus panis, 95.0, 77.81, 0.27; GCF_001434465.1, s__Limosilactobacillus oris, 95.0, 77.45, 0.23; GCF_014145505.1, s__Limosilactobacillus sp014145505, 95.0, 77.3, 0.1; GCF_900156885.1, s__Limosilactobacillus sp900156885, 95.0, 77.27, 0.22; GCF_014145435.1, s__Limosilactobacillus sp014145435, 95.0, 77.06, 0.11; GCF_014145615.1, s__Limosilactobacillus sp014145615, 95.0, 77.04, 0.13; GCF_014635905.1, s__Limosilactobacillus caviae, 95.0, 76.93, 0.1; GCF_009663775.1, s__Limosilactobacillus sp009663775, 95.0, 76.8, 0.12; GCF_001437055.1, s__Limosilactobacillus secaliphilus, 95.0, 76.76, 0.11; GCF_001436045.1, s__Limosilactobacillus frumenti, 95.0, 76.71, 0.15; GCF_000016825.1, s__Limosilactobacillus reuteri, 95.0, 76.58, 0.12; GCF_003072625.1, s__Limosilactobacillus reuteri_D, 95.0, 76.55, 0.11; GCF_013694365.1, s__Limosilactobacillus reuteri_E, 95.0, 76.36, 0.06; GCF_000159435.1, s__Limosilactobacillus vaginalis, 95.0, 76.31, 0.12; GCF_012843675.1, s__Limosilactobacillus sp012843675, 95.0, 76.24, 0.08; GCF_001436025.1, s__Limosilactobacillus mucosae, 95.0, 76.22, 0.08; GCF_000159215.1, s__Limosilactobacillus fermentum, 95.0, 76.13, 0.08; GCF_014145545.1, s__Limosilactobacillus sp014145545, 95.0, 76.1, 0.13; GCF_001434365.1, s__Limosilactobacillus gastricus, 95.0, 76.08, 0.02; GCA_003343585.1, s__Limosilactobacillus fermentum_A, 95.0, 75.92, 0.04; GCF_001435775.1, s__Limosilactobacillus ingluviei, 95.0, 75.91, 0.06; GCF_000161935.1, s__Limosilactobacillus coleohominis, 95.0, 75.89, 0.06; GCF_001311375.1, s__Limosilactobacillus equigenerosi, 95.0, 75.71, 0.02; GCF_013487845.1, s__Limosilactobacillus sp013487845, 95.0, 75.62, 0.05; GCA_900557215.1, s__Limosilactobacillus sp900557215, 95.0, 75.6, 0.04; GCF_001293735.1, s__Limosilactobacillus gorillae, 95.0, 75.25, 0.09	37.05	11	N/A	N/A
S1C2195	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus timonensis	GCF_900240275.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus timonensis	98.91	0.99	GCF_900240275.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus timonensis	98.91	0.99	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000161935.1, s__Limosilactobacillus coleohominis, 95.0, 78.23, 0.08; GCF_001437055.1, s__Limosilactobacillus secaliphilus, 95.0, 78.08, 0.12; GCF_002940945.1, s__Limosilactobacillus pontis_A, 95.0, 77.99, 0.11; GCF_013694365.1, s__Limosilactobacillus reuteri_E, 95.0, 77.86, 0.05; GCF_000159215.1, s__Limosilactobacillus fermentum, 95.0, 77.49, 0.11; GCF_009663775.1, s__Limosilactobacillus sp009663775, 95.0, 77.46, 0.07; GCF_001434465.1, s__Limosilactobacillus oris, 95.0, 77.42, 0.13; GCF_000160835.1, s__Limosilactobacillus antri, 95.0, 77.23, 0.19; GCF_000016825.1, s__Limosilactobacillus reuteri, 95.0, 77.14, 0.06; GCF_001435935.1, s__Limosilactobacillus panis, 95.0, 77.06, 0.16; GCA_900557215.1, s__Limosilactobacillus sp900557215, 95.0, 76.72, 0.09; GCA_003343585.1, s__Limosilactobacillus fermentum_A, 95.0, 76.72, 0.07; GCF_001435345.1, s__Limosilactobacillus pontis, 95.0, 76.65, 0.16; GCF_014145505.1, s__Limosilactobacillus sp014145505, 95.0, 76.56, 0.08; GCF_001435775.1, s__Limosilactobacillus ingluviei, 95.0, 76.52, 0.06; GCF_000159435.1, s__Limosilactobacillus vaginalis, 95.0, 76.51, 0.12; GCA_002299975.1, s__Limosilactobacillus sp002299975, 95.0, 76.48, 0.13; GCF_900156885.1, s__Limosilactobacillus sp900156885, 95.0, 76.45, 0.1; GCF_001293735.1, s__Limosilactobacillus gorillae, 95.0, 76.45, 0.12; GCF_012843675.1, s__Limosilactobacillus sp012843675, 95.0, 76.43, 0.14; GCF_013487845.1, s__Limosilactobacillus sp013487845, 95.0, 76.19, 0.08; GCF_014145435.1, s__Limosilactobacillus sp014145435, 95.0, 76.14, 0.09; GCF_001436025.1, s__Limosilactobacillus mucosae, 95.0, 76.09, 0.15; GCF_014635905.1, s__Limosilactobacillus caviae, 95.0, 76.07, 0.07; GCF_014145545.1, s__Limosilactobacillus sp014145545, 95.0, 75.9, 0.06; GCF_003072625.1, s__Limosilactobacillus reuteri_D, 95.0, 75.88, 0.06; GCF_002871555.1, s__Limosilactobacillus vaginalis_A, 95.0, 75.87, 0.12; GCF_014145615.1, s__Limosilactobacillus sp014145615, 95.0, 75.67, 0.07; GCF_001436045.1, s__Limosilactobacillus frumenti, 95.0, 75.29, 0.14; GCF_001434365.1, s__Limosilactobacillus gastricus, 95.0, 75.21, 0.04; GCF_001311375.1, s__Limosilactobacillus equigenerosi, 95.0, 74.95, 0.05	16.46	11	N/A	N/A
